Fold,Seed,Tier,Classifier,BP_Noise_mmHg,Missing_Rate_Target,Actual_Missing_Rate,Temp_Bias_Low,Temp_Bias_High,Accuracy,Macro F1,High Risk Recall,Brier Score
3,55,Tier 1 (Mild),Random Forest,5.0,0.05,0.0567,-0.5,-0.1,0.7733990147783252,0.7759265482576785,0.8703703703703703,0.3213455254605904
3,55,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0567,-0.5,-0.1,0.625615763546798,0.6010030583239306,0.7037037037037037,0.5134480956380909
3,55,Tier 1 (Mild),XGBoost,5.0,0.05,0.0567,-0.5,-0.1,0.7339901477832512,0.7390552095193446,0.8148148148148148,0.39641387738409023
3,66,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0616,-0.5,-0.1,0.5517241379310345,0.5356596265687175,0.5740740740740741,0.5521702513485829
3,66,Tier 1 (Mild),Random Forest,5.0,0.05,0.0616,-0.5,-0.1,0.7931034482758621,0.7913734883222392,0.8888888888888888,0.33086376803549583
3,66,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0616,-0.5,-0.1,0.6305418719211823,0.6063027940220923,0.7407407407407407,0.5124913213050497
3,66,Tier 1 (Mild),XGBoost,5.0,0.05,0.0616,-0.5,-0.1,0.7241379310344828,0.7256788064127514,0.8148148148148148,0.4159079979050974
3,77,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0517,-0.5,-0.1,0.5862068965517241,0.5691458477851773,0.6296296296296297,0.5383912936327733
3,77,Tier 1 (Mild),Random Forest,5.0,0.05,0.0517,-0.5,-0.1,0.7931034482758621,0.7957238295573217,0.8703703703703703,0.3047481148342283
3,77,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0517,-0.5,-0.1,0.645320197044335,0.6197970732002146,0.7592592592592593,0.49981612433160266
3,77,Tier 1 (Mild),XGBoost,5.0,0.05,0.0517,-0.5,-0.1,0.7536945812807881,0.754160797467884,0.8703703703703703,0.3500500256422541
3,88,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0714,-0.5,-0.1,0.6009852216748769,0.5786532499403786,0.6481481481481481,0.5265844759458028
3,88,Tier 1 (Mild),Random Forest,5.0,0.05,0.0714,-0.5,-0.1,0.7980295566502463,0.8021798973706105,0.8888888888888888,0.3118796070171912
3,88,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0714,-0.5,-0.1,0.6551724137931034,0.6307914841946255,0.7962962962962963,0.4831951124596184
